department,bio_gdd_spring,hydric_precip_spring,stress_heat_days,stress_shock_days,risk_frost_april,risk_wet_harvest,risk_heavy_rain_july,bio_vernalization_days,bio_aridity_index,bio_compound_stress_days,datetime,year,log_time,pred_baseline,pred_anomaly,predicted_yield
Correze,1856.6743,0.019420795,6,0,8,0.002282531,0,47,0.0009591434,6,2016-01-01,2016,3.5553480614894135,4.910848257486959,-0.06449067818535376,4.846357579301606
Cote_d_Or,1874.8644,0.016272642,3,0,10,0.0023615889,0,41,0.00078809104,3,2016-01-01,2016,3.5553480614894135,6.4971037961901095,0.023175474795636357,6.520279270985746
Cotes_d_Armor,1820.7494,0.017969122,2,0,2,0.0017349875,0,54,0.0008370706,2,2016-01-01,2016,3.5553480614894135,6.825862388361149,0.0628849945086116,6.888747382869761
Creuse,1893.7953,0.010702311,5,0,8,0.0014096344,0,49,0.0005192804,5,2016-01-01,2016,3.5553480614894135,5.5690089400597715,0.08576185010699112,5.654770790166762
Deux_Sevres,2163.498,0.0068807113,19,2,3,0.0009884405,0,49,0.0003014334,19,2016-01-01,2016,3.5553480614894135,6.319973040345666,-0.02777145363078212,6.292201586714884
Dordogne,2273.4773,0.010562791,19,2,3,0.0007709427,0,46,0.0004531957,19,2016-01-01,2016,3.5553480614894135,4.583960434417384,-0.045752539064005344,4.538207895353379
Doubs,1747.918,0.015040011,1,0,13,0.0017066963,0,35,0.00076794706,1,2016-01-01,2016,3.5553480614894135,5.628447701946208,-0.17883252455557996,5.449615177390628
Drome,1919.654,0.013405412,5,0,12,0.002278897,0,37,0.0006575568,5,2016-01-01,2016,3.5553480614894135,5.134782532598118,0.0014529634822392327,5.136235496080357
Essonne,2050.5278,0.0022634342,12,0,7,0.00019823792,0,40,0.000102536906,12,2016-01-01,2016,3.5553480614894135,7.837220432643712,-0.0755944986747739,7.761625933968938
Eure,1883.1458,0.009996714,8,0,4,0.0010815656,0,42,0.00047050405,8,2016-01-01,2016,3.5553480614894135,7.8665219408039215,0.04188330412636388,7.908405244930285
Eure_et_Loir,1947.8651,0.010624134,8,0,5,0.0014990048,0,43,0.0004950034,8,2016-01-01,2016,3.5553480614894135,8.335348564965225,-0.06731278561712395,8.2680357793481
Finistere,1773.6362,0.007530141,1,0,0,0.00087176985,0,53,0.00034804296,1,2016-01-01,2016,3.5553480614894135,6.541675814288492,0.03762336776052546,6.579299182049017
Gard,2242.0566,0.003998071,16,2,2,0.001118518,0,50,0.00017569325,16,2016-01-01,2016,3.5553480614894135,3.4249472428169754,-0.08330873182657722,3.341638510990398
Gers,2357.5693,0.011290367,22,6,0,0.0010636533,0,47,0.00047380672,22,2016-01-01,2016,3.5553480614894135,4.710626095769362,0.07359663167265713,4.784222727442019
Gironde,2311.5583,0.010234619,20,4,0,0.0006467182,0,42,0.00041922295,20,2016-01-01,2016,3.5553480614894135,4.782398869737668,0.044973041010669,4.8273719107483375
Haut_Rhin,1802.9674,0.0055329553,2,0,13,0.0004266113,0,33,0.00027760907,2,2016-01-01,2016,3.5553480614894135,6.72277816685486,-0.10422888808895917,6.618549278765901
Haute_Garonne,2251.0251,0.008094424,15,5,1,0.0010777097,0,47,0.0003515712,15,2016-01-01,2016,3.5553480614894135,5.103959652327542,-0.038915857272733154,5.065043795054809
Haute_Loire,1600.9866,0.010267702,0,0,15,0.0016174939,0,35,0.0005678373,0,2016-01-01,2016,3.5553480614894135,5.104001124952746,-0.11436241250916811,4.989638712443578
Haute_Marne,1865.4645,0.012859653,4,0,11,0.0017244025,0,40,0.0006252967,4,2016-01-01,2016,3.5553480614894135,6.445075469699319,-0.05372073377192336,6.391354735927395
Haute_Saone,1928.0433,0.008303104,5,0,10,0.0007494275,0,40,0.00039761662,5,2016-01-01,2016,3.5553480614894135,5.908346357902311,-0.04008320870324223,5.868263149199069
Haute_Savoie,1397.8567,0.00800752,0,0,18,0.0010581965,0,21,0.00047236358,0,2016-01-01,2016,3.5553480614894135,5.850393604152991,-0.07393248956262843,5.776461114590362
Haute_Vienne,2002.8624,0.01068991,13,0,7,0.0008381336,0,49,0.0004986995,13,2016-01-01,2016,3.5553480614894135,5.299217906728683,-0.12550302605117286,5.17371488067751
Hautes_Alpes,811.9767,0.011174784,0,0,27,0.003214196,0,2,0.0009622261,0,2016-01-01,2016,3.5553480614894135,3.931520198785186,-0.14860019456314458,3.782920004222041
Hautes_pyrenees,1659.8145,0.01858948,3,0,12,0.002110222,0,48,0.0009832584,3,2016-01-01,2016,3.5553480614894135,5.219040225752347,0.0072448394210218115,5.226285065173369
